slug,title_pl,title_en,year,dimensions,materials_pl,materials_en,description_pl,description_en,price,accent,featured_order,status,sort_order,currency
cisza-przed-switem,Uśpiona Emocja,Dormant Emotion,2020,120 × 120 cm,"Akryl, struktura na płótnie",Textured acrylic and plaster on canvas,"Fakturowa abstrakcja przedstawiająca proces wyciszenia. Chłodna, szara warstwa tynku i akrylu stopniowo przysłania tętniące pod spodem czerwienie i zielenie, tworząc zwięzły dialog między ukrytą energią a zewnętrznym spokojem.","A textured abstraction representing the process of calming. A cool, grey layer of plaster and acrylic gradually veils the vibrant reds and greens beneath, creating a concise dialogue between hidden energy and outer stillness.",8200,turquoise,,sold,,PLN
zapach-terpentyny,Theta Vibe Pink,Theta Vibe Pink,2022,100 × 40 cm,"Akryl, struktura na płótnie",Textured acrylic and plaster on canvas,"To fakturowa abstrakcja, wizualizacja stanu theta. Surowe, białe warstwy tynku i akrylu zderzają się z pulsacyjną energią neonowego różu, tworząc pozytywną przestrzeń medytacji w stanie Theta.","A textured abstraction, a visual representation of the theta state. Raw, white layers of plaster and acrylic collide with the pulsating energy of neon pink, creating a positive space for theta-state meditation.",900,pink,,sold,,EUR
linia-horyzontu,Stone Sea Calmness,Stone Sea Calmness,2020,100 × 75 cm,Technika mieszana: akwarela i tusz na papierze,Watercolor and ink on paper,"Minimalna kompozycja szukająca granicy między wodą a lądem na papierze, prace z detalem.","Minimalist composition exploring the boundary between land and water on paper, works with intricate detail.",1100,acid,3,sold,,EUR
wewnetrzny-ogrod,Uwolniona Emocja,Released Emotion,2020,200 × 100 cm,"Akryl, struktura na płótnie",Textured acrylic and plaster on canvas,"Fakturowa abstrakcja stanowiąca odwrócenie procesu wyciszenia. Intensywne, mięsiste warstwy akrylu i tynku w odcieniach czerwieni, turkusu i czerni przełamują neutralne, szare tło, uwalniając surową energię i ekspresję.","A textured abstraction that reverses the process of calming. Intense, dense layers of acrylic and plaster in shades of red, turquoise, and black break through a neutral grey ground, releasing raw energy and expression.",11200,turquoise,,sold,,PLN
echo,Echo,Echo,2025,60 × 60 cm,Akryl na płótnie,Acrylic on canvas,Powtarzający się gest jako sposób na zapamiętanie chwili.,A repeated gesture as a way of remembering a moment.,3600,pink,,,,PLN
nokturn,Nokturn,Nocturne,2023,100 × 100 cm,Olej na płótnie,Oil on canvas,Granatowe tło przecięte pojedynczą smugą światła.,A deep navy ground cut by a single streak of light.,7300,acid,,,,PLN
druga-strona,Druga strona,The Other Side,2025,90 × 120 cm,Olej na płótnie,Oil on canvas,"Dwie płaszczyzny koloru spotykają się na jednej, niepewnej linii.","Two fields of colour meet along a single, uncertain line.",6200,pink,,,,PLN
zimowy-sad,Dualizm,Dualism,2022,100 × 70 cm,Akryl na płótnie,Acrylic on canvas,"Eksperyment z gęstością i fakturą materii. Grube, mięsiste płaty czerni nakładane szpachlą po lewej stronie zderzają się z gestualnym, przetartym pędzlem rozjaśnieniem po prawej. Metaliczne, miedziane tło stanowi pole dla rywalizacji dwóch zupełnie różnych technik malarskich.","An experiment in density and texture. Thick, dense slabs of black applied with a palette knife on the left collide with a gestural, brushed-through lightening on the right. A metallic copper ground becomes the arena for two entirely different painting techniques.",4800,turquoise,,sold,,PLN
niedokonczona-rozmowa,Niedokończona rozmowa,Unfinished Conversation,2024,110 × 140 cm,"Akryl, olej, płótno","Acrylic, oil, canvas","Dwie warstwy farby, które nigdy się nie dogadały do końca.",Two layers of paint that never quite agreed.,9100,acid,,,,PLN
sol,Warstwy Radości,Layers of Joy,2023,70 × 40 cm,"Akryl, akwarela, tusz na papierze","Acrylic, watercolor, ink on paper","Dynamiczny kolaż technik i faktur na papierze. Wodne, akwarelowe plamy turkusu i różu przeplatają się z gęstym, wypukłym akrylem oraz szkicowymi liniami. Lekka, pastelowa kompozycja przełamana organicznym akcentem złocistej materii.","A dynamic collage of techniques and textures on paper. Watery washes of turquoise and pink weave through dense, raised acrylic and sketch-like lines. A light, pastel composition broken by an organic accent of gilded matter.",2900,pink,,,,PLN
droga-do-domu,Mediterraneum Soul,Mediterraneum Soul,2022,100 × 70 cm,Akryl na papierze,Acrylic on paper,"Wielowarstwowa kompozycja łącząca płaskie, architektoniczne płaszczyzny z gęstym, trójwymiarowym impasto. Złociste, trójwymiarowe pociągnięcia farby tworzą wyczuwalny pod palcami rytm na tle ciepłych, przetartych odcieni ugru i czerwieni.","A multi-layered composition combining flat, architectural planes with dense, three-dimensional impasto. Gilded, sculptural strokes of paint create a rhythm you can feel under your fingertips, set against warm, weathered tones of ochre and red.",6700,turquoise,,sold,,PLN
wewnetrzne-morze,Impuls,Impulse,2022,100 × 75 cm,Akryl na papierze,Acrylic on paper,"Mocny, graficzny kontrast form. Monochromatyczne, przetarte tło z czarnym akcentem przełamuje gęsta, trójwymiarowa wylewka złotej farby. Całość dopełniają drobne rozbłyski czerwieni, tworząc kompozycję pełną ekspresji i dotykowej faktury.","A bold, graphic contrast of forms. A monochromatic, weathered ground with a black accent is broken by a dense, three-dimensional pour of gold paint. Small flashes of red complete the composition, full of expression and tactile texture.",13400,acid,2,,,PLN
popiol-i-zloto,Popiół i złoto,Ash and Gold,2023,90 × 90 cm,"Olej, złoty pigment, płótno","Oil, gold pigment, canvas",Kontrast matowej szarości i pojedynczej złotej smugi.,A contrast of matte grey and a single streak of gold.,8900,pink,,,,PLN
pierwszy-mroz,Pierwszy mróz,First Frost,2024,60 × 80 cm,Akryl na płótnie,Acrylic on canvas,"Chłodna paleta i twarda, precyzyjna linia.","A cool palette and a hard, precise line.",4200,turquoise,,,,PLN
oddech,Oddech,Breath,2025,80 × 60 cm,Olej na płótnie,Oil on canvas,Jeden gest pędzla powtórzony aż stał się rytmem.,One brush gesture repeated until it became a rhythm.,4700,acid,,,,PLN
zapomniany-ogrod,Zapomniany ogród,Forgotten Garden,2022,120 × 100 cm,Olej na płótnie,Oil on canvas,Gęsta roślinność wynurzająca się z cienia.,Dense foliage emerging from shadow.,7800,pink,,,,PLN
niebieska-godzina,Niebieska godzina,Blue Hour,2024,100 × 100 cm,Olej na płótnie,Oil on canvas,Moment między dniem a nocą złapany w jednym tonie.,"The moment between day and night, caught in a single tone.",7100,turquoise,,,,PLN
kruche,Kruche,Fragile,2023,50 × 50 cm,Akryl na płótnie,Acrylic on canvas,"Mały format, delikatna, niemal przezroczysta warstwa farby.","A small format, a delicate, near-transparent layer of paint.",2400,acid,,,,PLN
przystan,Przystań,Harbour,2025,110 × 90 cm,Olej na płótnie,Oil on canvas,Stonowana kompozycja budowana wokół pustego środka.,A muted composition built around an empty centre.,6500,pink,,,,PLN
cien-lipca,Espontaño-Garden City,Espontaño-Garden City,2026,100 × 70 cm,Akryl i struktura na płótnie,Textured acrylic and plaster on canvas,To abstrakcyjny dialog między życiem natury a strukturą miasta. Surowe warstwy tynku i akrylu łączą ślady organicznego wzrostu z geometrycznym ładem.,An abstract dialogue between nature and the urban structure. Raw layers of plaster and acrylic blend traces of organic growth with geometric order.,5300,turquoise,1,sold,,PLN
ostatnie-swiatlo,Ostatnie światło,Last Light,2025,140 × 100 cm,Olej na płótnie,Oil on canvas,"Duża, spokojna praca zamykająca cykl o świetle.","A large, quiet piece closing the cycle on light.",10800,acid,,,,PLN
dramat-sukni,Dramat Sukni,Dramat Sukni,2016,100 × 40 cm,Akryl na płótnie,Acrylic on canvas,"To nie tylko sukienka. To fakturowa furia, zapis dramatycznej energii tańca uchwycony w surowych, drapanych warstwach pigmentu. Każde pociągnięcie szpachli, każde nacięcie materii buduje tu dramaturgię, tworząc kruchą, a zarazem potężną architekturę ruchu. Szorstka, grafitowa czerń zderza się z efemerycznym, pastelowym tłem, nie pozwalając na obojętność. To fizyczny gest malarza, który rzeźbi ciszę przed burzą.","This is not just a dress. It's a textured fury, a record of the dramatic energy of dance captured in raw, scraped layers of pigment. Every stroke of the palette knife, every incision into the material builds drama here, forming a fragile yet powerful architecture of movement. Rough, graphite black collides with an ephemeral, pastel ground, allowing no indifference. It is the painter's physical gesture, sculpting the silence before the storm.",,pink,,,,PLN
kokon,Kokon,Cocoon,2016,150 × 100 cm,Akryl na płótnie,Acrylic on canvas,"Syntetyczne studium formy i faktury. Gruba, rzeźbiarska warstwa farby obwiedziona surowym, ciemnym konturem buduje miękki, spiralny ruch. Przenikające się odcienie bieli, beżu i szarości nakładane szpachlą tworzą haptyczną, dotykową strukturę obrazu.","A synthetic study of form and texture. A thick, sculptural layer of paint outlined in a raw, dark contour builds a soft, spiral motion. Interweaving shades of white, beige, and grey applied with a palette knife create a haptic, tactile structure.",,acid,,sold,,PLN
stalagnity,Stalagnity,Stalagnity,2015,,Akryl i struktura na płótnie,Textured acrylic and plaster on canvas,"Minimalistyczna kompozycja nawiązująca do surowych, jaskiniowych formacji scalonych upływem czasu. Drapane, poziome przetarcia bieli i mineralnej szarości przypominają warstwy narastające na kamiennej kolumnie. Geometryczny relief w narożniku oraz surowa, tynkowa faktura łączą architektoniczną dyscyplinę z naturalnym rytmem natury.","A minimalist composition referencing raw cave formations fused over time. Scraped, horizontal passes of white and mineral grey resemble layers building up on a stone column. A geometric relief in the corner and a raw, plaster-like texture combine architectural discipline with the natural rhythm of nature.",,turquoise,,,,PLN
